,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,gls,sh,sot,sot%,g/sh,g/sot,dist,fk,pk,pkatt,npxg,npxg/sh,g-xg,np:g-xg,season,team,comp
9,2019-11-02,18:30,Matchweek 10,Sat,Home,W,1.0,0.0,Hertha BSC,1.6,0.4,54.0,22012.0,Christopher Trimmel,3-4-3,Deniz Aytekin,Match Report,,1,13,5,38.5,0.0,0.0,24.2,0.0,1,1,0.8,0.06,-0.6,-0.8,2019-2020,Union Berlin,
10,2019-11-09,15:30,Matchweek 11,Sat,Away,W,3.0,2.0,Mainz 05,1.1,2.3,44.0,24349.0,Christopher Trimmel,3-4-1-2,Harm Osmers,Match Report,,2,14,4,28.6,0.14,0.5,19.2,0.0,0,0,1.1,0.08,0.9,0.9,2019-2020,Union Berlin,
11,2019-11-23,15:30,Matchweek 12,Sat,Home,W,2.0,0.0,M'Gladbach,1.8,1.2,37.0,22012.0,Christopher Trimmel,3-4-1-2,Felix Brych,Match Report,,2,11,6,54.5,0.18,0.33,14.8,0.0,0,0,1.8,0.16,0.2,0.2,2019-2020,Union Berlin,
12,2019-11-29,20:30,Matchweek 13,Fri,Away,L,1.0,2.0,Schalke 04,1.6,1.5,44.0,61837.0,Christopher Trimmel,3-4-3,Daniel Schlager,Match Report,,1,16,6,37.5,0.0,0.0,18.8,0.0,1,1,0.8,0.05,-0.6,-0.8,2019-2020,Union Berlin,
13,2019-12-08,15:30,Matchweek 14,Sun,Home,W,2.0,0.0,Köln,1.9,1.2,55.0,22012.0,Christopher Trimmel,3-4-3,Patrick Ittrich,Match Report,,2,12,5,41.7,0.17,0.4,14.9,0.0,0,0,1.9,0.16,0.1,0.1,2019-2020,Union Berlin,
14,2019-12-14,15:30,Matchweek 15,Sat,Away,D,1.0,1.0,Paderborn 07,1.9,1.4,44.0,14414.0,Christopher Trimmel,3-4-3,Sven Jablonski,Match Report,,1,16,2,12.5,0.06,0.5,14.4,0.0,0,0,1.9,0.12,-0.9,-0.9,2019-2020,Union Berlin,
15,2019-12-17,20:30,Matchweek 16,Tue,Home,L,0.0,2.0,Hoffenheim,1.5,0.8,49.0,20350.0,Christopher Trimmel,3-4-1-2,Sören Storks,Match Report,,0,16,2,12.5,0.0,0.0,16.9,0.0,0,0,1.5,0.09,-1.5,-1.5,2019-2020,Union Berlin,
16,2019-12-22,15:30,Matchweek 17,Sun,Away,L,1.0,2.0,Düsseldorf,2.2,1.3,52.0,45490.0,Christopher Trimmel,3-4-3,Benjamin Cortus,Match Report,,1,17,5,29.4,0.06,0.2,18.7,0.0,0,0,2.2,0.14,-1.2,-1.2,2019-2020,Union Berlin,
17,2020-01-18,18:30,Matchweek 18,Sat,Away,L,1.0,3.0,RB Leipzig,0.9,1.7,35.0,42146.0,Marvin Friedrich,3-4-3,Bastian Dankert,Match Report,,1,14,4,28.6,0.07,0.25,18.9,0.0,0,0,0.9,0.06,0.1,0.1,2019-2020,Union Berlin,
18,2020-01-25,15:30,Matchweek 19,Sat,Home,W,2.0,0.0,Augsburg,0.8,1.6,45.0,22012.0,Christopher Trimmel,3-4-1-2,Bibiana Steinhaus,Match Report,,2,12,3,25.0,0.17,0.67,17.6,0.0,0,0,0.8,0.07,1.2,1.2,2019-2020,Union Berlin,
19,2020-02-01,15:30,Matchweek 20,Sat,Away,L,0.0,5.0,Dortmund,0.4,2.9,34.0,81365.0,Christopher Trimmel,3-4-3,Benjamin Cortus,Match Report,,0,5,0,0.0,0.0,,21.8,0.0,0,0,0.4,0.07,-0.4,-0.4,2019-2020,Union Berlin,
20,2020-02-08,15:30,Matchweek 21,Sat,Away,W,2.0,0.0,Werder Bremen,2.3,1.0,30.0,42100.0,Christopher Trimmel,3-4-3,Daniel Schlager,Match Report,,2,11,5,45.5,0.18,0.4,12.6,0.0,0,0,2.3,0.23,-0.3,-0.3,2019-2020,Union Berlin,
21,2020-02-15,15:30,Matchweek 22,Sat,Home,L,2.0,3.0,Leverkusen,2.0,1.7,40.0,22012.0,Christopher Trimmel,3-4-3,Harm Osmers,Match Report,,2,21,7,33.3,0.1,0.29,15.8,0.0,0,0,2.0,0.09,0.0,0.0,2019-2020,Union Berlin,
22,2020-02-24,20:30,Matchweek 23,Mon,Away,W,2.0,1.0,Eint Frankfurt,1.1,2.6,37.0,47000.0,Marvin Friedrich,3-4-3,Deniz Aytekin,Match Report,,1,11,7,63.6,0.09,0.14,14.3,0.0,0,0,1.1,0.1,-0.1,-0.1,2019-2020,Union Berlin,
23,2020-03-01,13:30,Matchweek 24,Sun,Home,D,2.0,2.0,Wolfsburg,0.7,1.9,40.0,22012.0,Christopher Trimmel,3-4-3,Bastian Dankert,Match Report,,2,6,3,50.0,0.33,0.67,13.2,0.0,0,0,0.7,0.11,1.3,1.3,2019-2020,Union Berlin,
24,2020-03-07,15:30,Matchweek 25,Sat,Away,L,1.0,3.0,Freiburg,0.7,1.4,48.0,24000.0,Christopher Trimmel,3-4-3,Marco Fritz,Match Report,,1,14,4,28.6,0.07,0.25,22.0,1.0,0,0,0.7,0.05,0.3,0.3,2019-2020,Union Berlin,
25,2020-05-17,18:00,Matchweek 26,Sun,Home,L,0.0,2.0,Bayern Munich,0.6,1.5,33.0,,Christopher Trimmel,3-4-3,Bastian Dankert,Match Report,,0,9,2,22.2,0.0,0.0,18.5,0.0,0,0,0.6,0.07,-0.6,-0.6,2019-2020,Union Berlin,
26,2020-05-22,20:30,Matchweek 27,Fri,Away,L,0.0,4.0,Hertha BSC,0.3,1.9,45.0,,Christopher Trimmel,3-4-3,Harm Osmers,Match Report,,0,7,0,0.0,0.0,,21.7,1.0,0,0,0.3,0.05,-0.3,-0.3,2019-2020,Union Berlin,
27,2020-05-27,20:30,Matchweek 28,Wed,Home,D,1.0,1.0,Mainz 05,0.5,0.6,40.0,,Christopher Trimmel,3-4-3,Robert Schröder,Match Report,,1,9,3,33.3,0.11,0.33,20.0,1.0,0,0,0.5,0.06,0.5,0.5,2019-2020,Union Berlin,
28,2020-05-31,15:30,Matchweek 29,Sun,Away,L,1.0,4.0,M'Gladbach,1.0,2.2,43.0,,Christopher Trimmel,3-4-3,Frank Willenborg,Match Report,,1,12,5,41.7,0.08,0.2,19.1,0.0,0,0,1.0,0.09,0.0,0.0,2019-2020,Union Berlin,
29,2020-06-07,15:30,Matchweek 30,Sun,Home,D,1.0,1.0,Schalke 04,2.6,0.2,47.0,,Christopher Trimmel,3-4-1-2,Tobias Stieler,Match Report,,1,12,5,41.7,0.08,0.2,12.1,0.0,0,0,2.6,0.22,-1.6,-1.6,2019-2020,Union Berlin,
30,2020-06-13,15:30,Matchweek 31,Sat,Away,W,2.0,1.0,Köln,0.5,1.3,39.0,,Christopher Trimmel,4-1-4-1,Martin Petersen,Match Report,,2,6,4,66.7,0.33,0.5,13.5,1.0,0,0,0.5,0.08,1.5,1.5,2019-2020,Union Berlin,
31,2020-06-16,20:30,Matchweek 32,Tue,Home,W,1.0,0.0,Paderborn 07,1.4,0.5,42.0,,Christopher Trimmel,4-1-4-1,Bibiana Steinhaus,Match Report,,0,15,6,40.0,0.0,0.0,17.1,0.0,0,0,1.4,0.1,-1.4,-1.4,2019-2020,Union Berlin,
32,2020-06-20,15:30,Matchweek 33,Sat,Away,L,0.0,4.0,Hoffenheim,0.5,2.3,41.0,,Christopher Trimmel,3-4-1-2,Robert Hartmann,Match Report,,0,7,2,28.6,0.0,0.0,18.6,1.0,0,0,0.5,0.07,-0.5,-0.5,2019-2020,Union Berlin,
33,2020-06-27,15:30,Matchweek 34,Sat,Home,W,3.0,0.0,Düsseldorf,1.5,1.2,43.0,,Christopher Trimmel,4-1-4-1,Harm Osmers,Match Report,,3,11,5,45.5,0.27,0.6,24.7,0.0,0,0,1.5,0.14,1.5,1.5,2019-2020,Union Berlin,
0,2019-08-17,18:30,Matchweek 1,Sat,Away,D,0.0,0.0,M'Gladbach,0.8,1.5,40.0,54022.0,Alexander Nübel,4-2-3-1,Felix Brych,Match Report,,0,8,1,12.5,0.0,0.0,16.8,0.0,0,0,0.8,0.1,-0.8,-0.8,2019-2020,Schalke 04,
1,2019-08-24,18:30,Matchweek 2,Sat,Home,L,0.0,3.0,Bayern Munich,0.8,1.5,34.0,62271.0,Alexander Nübel,4-3-3,Marco Fritz,Match Report,,0,11,2,18.2,0.0,0.0,17.0,1.0,0,0,0.8,0.07,-0.8,-0.8,2019-2020,Schalke 04,
2,2019-08-31,15:30,Matchweek 3,Sat,Home,W,3.0,0.0,Hertha BSC,1.3,0.8,57.0,58875.0,Alexander Nübel,4-2-3-1,Tobias Stieler,Match Report,,1,9,2,22.2,0.11,0.5,21.6,0.0,0,0,1.3,0.14,-0.3,-0.3,2019-2020,Schalke 04,
3,2019-09-15,18:00,Matchweek 4,Sun,Away,W,5.0,1.0,Paderborn 07,2.2,0.9,54.0,15000.0,Alexander Nübel,4-4-2,Robert Schröder,Match Report,,5,17,11,64.7,0.29,0.45,16.4,1.0,0,0,2.2,0.13,2.8,2.8,2019-2020,Schalke 04,
4,2019-09-20,20:30,Matchweek 5,Fri,Home,W,2.0,1.0,Mainz 05,1.0,0.8,52.0,58687.0,Alexander Nübel,4-2-3-1,Daniel Schlager,Match Report,,2,18,6,33.3,0.11,0.33,19.6,0.0,0,0,1.0,0.06,1.0,1.0,2019-2020,Schalke 04,
5,2019-09-28,15:30,Matchweek 6,Sat,Away,W,3.0,1.0,RB Leipzig,3.2,1.3,35.0,42146.0,Alexander Nübel,4-4-2,Manuel Gräfe,Match Report,,3,12,7,58.3,0.17,0.29,14.1,0.0,1,1,2.4,0.21,-0.2,-0.4,2019-2020,Schalke 04,
6,2019-10-05,18:30,Matchweek 7,Sat,Home,D,1.0,1.0,Köln,1.6,0.9,55.0,61883.0,Alexander Nübel,4-1-2-1-2◆,Tobias Welz,Match Report,,1,15,3,20.0,0.07,0.33,19.3,0.0,0,0,1.6,0.11,-0.6,-0.6,2019-2020,Schalke 04,
7,2019-10-20,18:00,Matchweek 8,Sun,Away,L,0.0,2.0,Hoffenheim,0.8,0.9,58.0,29477.0,Alexander Nübel,4-1-3-2,Robert Hartmann,Match Report,,0,11,1,9.1,0.0,0.0,17.6,1.0,0,0,0.8,0.07,-0.8,-0.8,2019-2020,Schalke 04,
8,2019-10-26,15:30,Matchweek 9,Sat,Home,D,0.0,0.0,Dortmund,1.1,0.3,44.0,61873.0,Alexander Nübel,4-1-3-2,Felix Brych,Match Report,,0,14,2,14.3,0.0,0.0,18.8,0.0,0,0,1.1,0.08,-1.1,-1.1,2019-2020,Schalke 04,
9,2019-11-03,18:00,Matchweek 10,Sun,Away,W,3.0,2.0,Augsburg,0.5,1.6,66.0,30361.0,Alexander Nübel,4-1-2-1-2◆,Patrick Ittrich,Match Report,,2,10,3,30.0,0.2,0.67,17.0,0.0,0,0,0.5,0.05,1.5,1.5,2019-2020,Schalke 04,
10,2019-11-09,15:30,Matchweek 11,Sat,Home,D,3.0,3.0,Düsseldorf,1.3,2.1,57.0,61831.0,Alexander Nübel,4-2-3-1,Robert Hartmann,Match Report,,3,12,4,33.3,0.25,0.75,16.0,0.0,0,0,1.3,0.11,1.7,1.7,2019-2020,Schalke 04,
11,2019-11-23,15:30,Matchweek 12,Sat,Away,W,2.0,1.0,Werder Bremen,0.7,2.0,50.0,42100.0,Alexander Nübel,4-2-3-1,Benjamin Cortus,Match Report,,2,11,5,45.5,0.18,0.4,22.1,1.0,0,0,0.7,0.07,1.3,1.3,2019-2020,Schalke 04,
12,2019-11-29,20:30,Matchweek 13,Fri,Home,W,2.0,1.0,Union Berlin,1.5,1.6,56.0,61837.0,Alexander Nübel,4-2-3-1,Daniel Schlager,Match Report,,2,17,8,47.1,0.12,0.25,16.8,2.0,0,0,1.5,0.1,0.5,0.5,2019-2020,Schalke 04,
13,2019-12-07,18:30,Matchweek 14,Sat,Away,L,1.0,2.0,Leverkusen,1.1,2.8,44.0,30210.0,Alexander Nübel,4-1-3-2,Harm Osmers,Match Report,,1,5,3,60.0,0.2,0.33,14.0,0.0,0,0,1.1,0.22,-0.1,-0.1,2019-2020,Schalke 04,
14,2019-12-15,18:00,Matchweek 15,Sun,Home,W,1.0,0.0,Eint Frankfurt,1.0,0.9,49.0,60811.0,Alexander Nübel,4-2-3-1,Felix Zwayer,Match Report,,1,11,5,45.5,0.09,0.2,21.1,0.0,0,0,1.0,0.09,0.0,0.0,2019-2020,Schalke 04,
15,2019-12-18,20:30,Matchweek 16,Wed,Away,D,1.0,1.0,Wolfsburg,1.6,3.0,46.0,24651.0,Omar Mascarell,4-1-2-1-2◆,Martin Petersen,Match Report,,1,8,2,25.0,0.13,0.5,14.1,0.0,0,0,1.6,0.21,-0.6,-0.6,2019-2020,Schalke 04,
16,2019-12-21,15:30,Matchweek 17,Sat,Home,D,2.0,2.0,Freiburg,2.0,3.0,58.0,61867.0,Omar Mascarell,4-2-3-1,Felix Brych,Match Report,,2,20,6,30.0,0.1,0.33,22.9,1.0,0,0,2.0,0.1,0.0,0.0,2019-2020,Schalke 04,
17,2020-01-17,20:30,Matchweek 18,Fri,Home,W,2.0,0.0,M'Gladbach,2.1,1.0,46.0,62271.0,Omar Mascarell,4-1-2-1-2◆,Deniz Aytekin,Match Report,,2,15,7,46.7,0.13,0.29,13.4,0.0,0,0,2.1,0.14,-0.1,-0.1,2019-2020,Schalke 04,
18,2020-01-25,18:30,Matchweek 19,Sat,Away,L,0.0,5.0,Bayern Munich,0.4,3.7,25.0,75000.0,Omar Mascarell,4-1-2-1-2◆,Manuel Gräfe,Match Report,,0,7,1,14.3,0.0,0.0,17.5,0.0,0,0,0.4,0.06,-0.4,-0.4,2019-2020,Schalke 04,
19,2020-01-31,20:30,Matchweek 20,Fri,Away,D,0.0,0.0,Hertha BSC,1.1,0.5,58.0,47863.0,Omar Mascarell,4-1-2-1-2◆,Sascha Stegemann,Match Report,,0,13,5,38.5,0.0,0.0,18.0,0.0,0,0,1.1,0.09,-1.1,-1.1,2019-2020,Schalke 04,
20,2020-02-08,15:30,Matchweek 21,Sat,Home,D,1.0,1.0,Paderborn 07,1.2,0.7,65.0,61614.0,Omar Mascarell,4-1-2-1-2◆,Felix Brych,Match Report,,1,15,4,26.7,0.07,0.25,16.0,0.0,0,0,1.2,0.08,-0.2,-0.2,2019-2020,Schalke 04,
21,2020-02-16,18:00,Matchweek 22,Sun,Away,D,0.0,0.0,Mainz 05,0.7,1.5,60.0,27482.0,Omar Mascarell,4-1-2-1-2◆,Guido Winkmann,Match Report,,0,8,3,37.5,0.0,0.0,19.0,1.0,0,0,0.7,0.09,-0.7,-0.7,2019-2020,Schalke 04,
22,2020-02-22,18:30,Matchweek 23,Sat,Home,L,0.0,5.0,RB Leipzig,0.2,2.5,53.0,61433.0,Omar Mascarell,4-1-2-1-2◆,Sascha Stegemann,Match Report,,0,3,2,66.7,0.0,0.0,18.1,0.0,0,0,0.2,0.06,-0.2,-0.2,2019-2020,Schalke 04,
23,2020-02-29,18:30,Matchweek 24,Sat,Away,L,0.0,3.0,Köln,0.8,1.3,61.0,50000.0,Bastian Oczipka,4-2-3-1,Manuel Gräfe,Match Report,,0,7,1,14.3,0.0,0.0,16.8,0.0,0,0,0.8,0.12,-0.8,-0.8,2019-2020,Schalke 04,
24,2020-03-07,15:30,Matchweek 25,Sat,Home,D,1.0,1.0,Hoffenheim,1.1,0.6,44.0,58324.0,Guido Burgstaller,3-4-3,Sven Jablonski,Match Report,,1,14,4,28.6,0.07,0.25,19.6,0.0,0,0,1.1,0.08,-0.1,-0.1,2019-2020,Schalke 04,
25,2020-05-16,15:30,Matchweek 26,Sat,Away,L,0.0,4.0,Dortmund,0.5,1.3,41.0,,Daniel Caligiuri,3-4-3,Deniz Aytekin,Match Report,,0,10,3,30.0,0.0,0.0,23.4,1.0,0,0,0.5,0.05,-0.5,-0.5,2019-2020,Schalke 04,
26,2020-05-24,13:30,Matchweek 27,Sun,Home,L,0.0,3.0,Augsburg,1.0,1.3,71.0,,Daniel Caligiuri,4-2-3-1,Sascha Stegemann,Match Report,,0,12,2,16.7,0.0,0.0,20.8,0.0,0,0,1.0,0.08,-1.0,-1.0,2019-2020,Schalke 04,
27,2020-05-27,20:30,Matchweek 28,Wed,Away,L,1.0,2.0,Düsseldorf,0.7,1.5,34.0,,Daniel Caligiuri,5-4-1,Tobias Welz,Match Report,,1,8,3,37.5,0.13,0.33,19.3,0.0,0,0,0.7,0.08,0.3,0.3,2019-2020,Schalke 04,
28,2020-05-30,15:30,Matchweek 29,Sat,Home,L,0.0,1.0,Werder Bremen,0.7,0.6,43.0,,Daniel Caligiuri,3-4-3,Felix Zwayer,Match Report,,0,12,1,8.3,0.0,0.0,18.7,0.0,0,0,0.7,0.06,-0.7,-0.7,2019-2020,Schalke 04,
29,2020-06-07,15:30,Matchweek 30,Sun,Away,D,1.0,1.0,Union Berlin,0.2,2.6,53.0,,Daniel Caligiuri,4-1-2-1-2◆,Tobias Stieler,Match Report,,1,4,1,25.0,0.25,1.0,23.6,1.0,0,0,0.2,0.05,0.8,0.8,2019-2020,Schalke 04,
30,2020-06-14,18:00,Matchweek 31,Sun,Home,D,1.0,1.0,Leverkusen,1.5,1.0,27.0,,Daniel Caligiuri,4-4-2,Daniel Siebert,Match Report,,1,6,3,50.0,0.0,0.0,21.4,0.0,1,1,0.7,0.11,-0.5,-0.7,2019-2020,Schalke 04,
31,2020-06-17,18:30,Matchweek 32,Wed,Away,L,1.0,2.0,Eint Frankfurt,1.4,2.5,37.0,,Bastian Oczipka,4-4-2,Guido Winkmann,Match Report,,1,7,4,57.1,0.14,0.25,11.5,0.0,0,0,1.4,0.24,-0.4,-0.4,2019-2020,Schalke 04,
32,2020-06-20,15:30,Matchweek 33,Sat,Home,L,1.0,4.0,Wolfsburg,0.9,1.7,49.0,,Daniel Caligiuri,4-4-2,Sascha Stegemann,Match Report,,1,11,3,27.3,0.09,0.33,16.7,0.0,0,0,0.9,0.08,0.1,0.1,2019-2020,Schalke 04,
33,2020-06-27,15:30,Matchweek 34,Sat,Away,L,0.0,4.0,Freiburg,0.8,1.5,44.0,,Daniel Caligiuri,4-4-2,Martin Petersen,Match Report,,0,22,6,27.3,0.0,0.0,24.2,0.0,0,0,0.8,0.04,-0.8,-0.8,2019-2020,Schalke 04,
0,2019-08-17,15:30,Matchweek 1,Sat,Away,L,0.0,3.0,Freiburg,1.0,2.3,47.0,24000.0,Danny Latza,4-3-1-2,Robert Hartmann,Match Report,,0,19,5,26.3,0.0,0.0,20.8,0.0,0,0,1.0,0.05,-1.0,-1.0,2019-2020,Mainz 05,
1,2019-08-24,15:30,Matchweek 2,Sat,Home,L,1.0,3.0,M'Gladbach,1.7,1.9,48.0,28005.0,Danny Latza,4-3-1-2,Martin Petersen,Match Report,,1,20,4,20.0,0.05,0.25,17.2,1.0,0,0,1.7,0.09,-0.7,-0.7,2019-2020,Mainz 05,
2,2019-08-31,15:30,Matchweek 3,Sat,Away,L,1.0,6.0,Bayern Munich,0.8,2.9,33.0,75000.0,Danny Latza,4-2-3-1,Markus Schmidt,Match Report,,1,7,4,57.1,0.14,0.25,21.2,1.0,0,0,0.8,0.11,0.2,0.2,2019-2020,Mainz 05,
3,2019-09-14,15:30,Matchweek 4,Sat,Home,W,2.0,1.0,Hertha BSC,1.2,2.2,52.0,22798.0,Danny Latza,4-1-2-1-2◆,Marco Fritz,Match Report,,2,12,5,41.7,0.17,0.4,19.1,0.0,0,0,1.2,0.1,0.8,0.8,2019-2020,Mainz 05,
4,2019-09-20,20:30,Matchweek 5,Fri,Away,L,1.0,2.0,Schalke 04,0.8,1.0,48.0,58687.0,Danny Latza,4-3-1-2,Daniel Schlager,Match Report,,1,14,3,21.4,0.07,0.33,18.5,0.0,0,0,0.8,0.06,0.2,0.2,2019-2020,Mainz 05,
5,2019-09-28,15:30,Matchweek 6,Sat,Home,L,0.0,1.0,Wolfsburg,1.3,0.8,53.0,24303.0,Daniel Brosinski,4-3-1-2,Felix Brych,Match Report,,0,15,4,26.7,0.0,0.0,16.9,0.0,0,0,1.3,0.09,-1.3,-1.3,2019-2020,Mainz 05,
6,2019-10-05,15:30,Matchweek 7,Sat,Away,W,2.0,1.0,Paderborn 07,2.9,1.6,35.0,14217.0,Daniel Brosinski,4-4-2,Patrick Ittrich,Match Report,,2,15,6,40.0,0.07,0.17,17.2,0.0,1,1,2.1,0.14,-0.9,-1.1,2019-2020,Mainz 05,
7,2019-10-19,15:30,Matchweek 8,Sat,Away,L,0.0,1.0,Düsseldorf,0.3,1.6,45.0,40660.0,Daniel Brosinski,4-2-2-2,Felix Zwayer,Match Report,,0,7,1,14.3,0.0,0.0,27.5,0.0,0,0,0.3,0.04,-0.3,-0.3,2019-2020,Mainz 05,
8,2019-10-25,20:30,Matchweek 9,Fri,Home,W,3.0,1.0,Köln,1.8,1.3,47.0,31999.0,Daniel Brosinski,4-4-2,Frank Willenborg,Match Report,,3,18,6,33.3,0.17,0.5,20.9,0.0,0,0,1.8,0.1,1.2,1.2,2019-2020,Mainz 05,
9,2019-11-02,15:30,Matchweek 10,Sat,Away,L,0.0,8.0,RB Leipzig,0.6,3.3,33.0,38517.0,Jean-Paul Boëtius,4-1-2-1-2◆,Guido Winkmann,Match Report,,0,9,2,22.2,0.0,0.0,18.7,0.0,0,0,0.6,0.06,-0.6,-0.6,2019-2020,Mainz 05,
10,2019-11-09,15:30,Matchweek 11,Sat,Home,L,2.0,3.0,Union Berlin,2.3,1.1,56.0,24349.0,Daniel Brosinski,4-3-1-2,Harm Osmers,Match Report,,2,16,5,31.3,0.13,0.4,20.2,0.0,0,0,2.3,0.14,-0.3,-0.3,2019-2020,Mainz 05,
11,2019-11-24,18:00,Matchweek 12,Sun,Away,W,5.0,1.0,Hoffenheim,2.5,2.0,37.0,23129.0,Moussa Niakhate,3-4-1-2,Bastian Dankert,Match Report,,4,12,5,41.7,0.33,0.8,13.9,0.0,0,0,2.5,0.21,1.5,1.5,2019-2020,Mainz 05,
12,2019-12-02,20:30,Matchweek 13,Mon,Home,W,2.0,1.0,Eint Frankfurt,1.9,2.0,54.0,33134.0,Danny Latza,3-4-1-2,Manuel Gräfe,Match Report,,2,18,8,44.4,0.11,0.25,20.9,2.0,0,0,1.9,0.11,0.1,0.1,2019-2020,Mainz 05,
13,2019-12-07,15:30,Matchweek 14,Sat,Away,L,1.0,2.0,Augsburg,0.5,3.2,48.0,26950.0,Moussa Niakhate,3-4-1-2,Markus Schmidt,Match Report,,1,12,3,25.0,0.08,0.33,25.7,0.0,0,0,0.5,0.04,0.5,0.5,2019-2020,Mainz 05,
14,2019-12-14,15:30,Matchweek 15,Sat,Home,L,0.0,4.0,Dortmund,0.3,1.4,38.0,33305.0,Moussa Niakhate,3-4-1-2,Benjamin Cortus,Match Report,,0,9,0,0.0,0.0,,24.3,0.0,0,0,0.3,0.03,-0.3,-0.3,2019-2020,Mainz 05,
15,2019-12-17,18:30,Matchweek 16,Tue,Away,W,5.0,0.0,Werder Bremen,2.0,1.0,40.0,37720.0,Moussa Niakhate,4-2-3-1,Frank Willenborg,Match Report,,4,17,8,47.1,0.24,0.5,17.0,1.0,0,0,2.0,0.12,2.0,2.0,2019-2020,Mainz 05,
16,2019-12-21,15:30,Matchweek 17,Sat,Home,L,0.0,1.0,Leverkusen,2.4,1.3,40.0,24345.0,Moussa Niakhate,4-2-3-1,Patrick Ittrich,Match Report,,0,20,2,10.0,0.0,0.0,19.0,2.0,0,0,2.4,0.12,-2.4,-2.4,2019-2020,Mainz 05,
17,2020-01-18,15:30,Matchweek 18,Sat,Home,L,1.0,2.0,Freiburg,1.8,1.7,57.0,23138.0,Moussa Niakhate,4-2-3-1,Sven Jablonski,Match Report,,1,24,8,33.3,0.04,0.13,18.9,0.0,0,0,1.8,0.08,-0.8,-0.8,2019-2020,Mainz 05,
18,2020-01-25,15:30,Matchweek 19,Sat,Away,L,1.0,3.0,M'Gladbach,1.0,2.6,29.0,49175.0,Moussa Niakhate,4-2-3-1,Felix Zwayer,Match Report,,1,13,9,69.2,0.08,0.11,17.3,0.0,0,0,1.0,0.08,0.0,0.0,2019-2020,Mainz 05,
19,2020-02-01,15:30,Matchweek 20,Sat,Home,L,1.0,3.0,Bayern Munich,0.4,2.0,32.0,33305.0,Daniel Brosinski,4-2-3-1,Bastian Dankert,Match Report,,1,8,3,37.5,0.13,0.33,20.6,1.0,0,0,0.4,0.05,0.6,0.6,2019-2020,Mainz 05,
20,2020-02-08,15:30,Matchweek 21,Sat,Away,W,3.0,1.0,Hertha BSC,2.8,0.7,32.0,35049.0,Danny Latza,3-4-3,Martin Petersen,Match Report,,3,10,2,20.0,0.2,1.0,18.9,0.0,1,1,2.0,0.2,0.2,0.0,2019-2020,Mainz 05,
21,2020-02-16,18:00,Matchweek 22,Sun,Home,D,0.0,0.0,Schalke 04,1.5,0.7,40.0,27482.0,Danny Latza,3-4-3,Guido Winkmann,Match Report,,0,15,5,33.3,0.0,0.0,17.9,0.0,0,0,1.5,0.1,-1.5,-1.5,2019-2020,Mainz 05,
22,2020-02-23,18:00,Matchweek 23,Sun,Away,L,0.0,4.0,Wolfsburg,1.1,2.8,44.0,21058.0,Danny Latza,3-4-3,Benjamin Cortus,Match Report,,0,17,3,17.6,0.0,0.0,17.6,0.0,0,0,1.1,0.07,-1.1,-1.1,2019-2020,Mainz 05,
23,2020-02-29,15:30,Matchweek 24,Sat,Home,W,2.0,0.0,Paderborn 07,0.9,0.7,45.0,24231.0,Moussa Niakhate,4-4-2,Harm Osmers,Match Report,,2,8,3,37.5,0.25,0.67,20.1,1.0,0,0,0.9,0.11,1.1,1.1,2019-2020,Mainz 05,
24,2020-03-08,18:00,Matchweek 25,Sun,Home,D,1.0,1.0,Düsseldorf,0.9,2.0,36.0,21409.0,Danny Latza,3-4-3,Harm Osmers,Match Report,,1,3,1,33.3,0.33,1.0,16.0,0.0,0,0,0.9,0.42,0.1,0.1,2019-2020,Mainz 05,
25,2020-05-17,15:30,Matchweek 26,Sun,Away,D,2.0,2.0,Köln,2.3,2.7,52.0,,Moussa Niakhate,4-2-3-1,Guido Winkmann,Match Report,,2,11,5,45.5,0.18,0.4,14.6,0.0,0,0,2.3,0.21,-0.3,-0.3,2019-2020,Mainz 05,
26,2020-05-24,15:30,Matchweek 27,Sun,Home,L,0.0,5.0,RB Leipzig,0.3,4.4,35.0,,Moussa Niakhate,3-4-3,Markus Schmidt,Match Report,,0,4,1,25.0,0.0,0.0,14.0,0.0,0,0,0.3,0.08,-0.3,-0.3,2019-2020,Mainz 05,
27,2020-05-27,20:30,Matchweek 28,Wed,Away,D,1.0,1.0,Union Berlin,0.6,0.5,60.0,,Moussa Niakhate,4-2-3-1,Robert Schröder,Match Report,,1,10,2,20.0,0.1,0.5,23.5,1.0,0,0,0.6,0.06,0.4,0.4,2019-2020,Mainz 05,
28,2020-05-30,15:30,Matchweek 29,Sat,Home,L,0.0,1.0,Hoffenheim,1.4,2.1,50.0,,Moussa Niakhate,4-2-3-1,Sascha Stegemann,Match Report,,0,18,2,11.1,0.0,0.0,19.1,1.0,0,0,1.4,0.08,-1.4,-1.4,2019-2020,Mainz 05,
29,2020-06-06,15:30,Matchweek 30,Sat,Away,W,2.0,0.0,Eint Frankfurt,3.0,0.5,34.0,,Danny Latza,4-2-3-1,Felix Brych,Match Report,,2,17,4,23.5,0.12,0.5,15.8,1.0,0,0,3.0,0.18,-1.0,-1.0,2019-2020,Mainz 05,
