,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,gls,sh,sot,sot%,g/sh,g/sot,dist,fk,pk,pkatt,npxg,npxg/sh,g-xg,np:g-xg,sota,saves,save%,cs,psxg,psxg+/-,pka,pksv,pkm,cmp,att,cmp%,att (gk),thr,launch%,avglen,att,launch%,avglen,opp,stp,stp%,#opa,avgdist,season,team
13,2023-12-03,14:00,Matchweek 14,Sun,Home,W,4.0,3.0,Fulham,2.1,1.2,61.0,50124.0,Virgil van Dijk,4-3-3,Stuart Attwell,Match Report,,3,26,12,46.2,0.12,0.25,18.9,1,0,0,2.1,0.09,0.9,0.9,5,2,40.0,0,1.8,-1.2,0,0,0,0,1,0.0,37,6,2.7,18.5,4,0.0,17.0,6,1,16.7,3,19.0,2023-2024,Liverpool
14,2023-12-06,19:30,Matchweek 15,Wed,Away,W,2.0,0.0,Sheffield Utd,1.7,1.0,75.0,31406.0,Virgil van Dijk,4-3-3,Simon Hooper,Match Report,,2,15,8,53.3,0.13,0.25,16.4,0,0,0,1.7,0.11,0.3,0.3,1,1,100.0,1,0.4,0.4,0,0,0,5,10,50.0,30,3,23.3,23.5,6,50.0,37.8,5,1,20.0,0,10.0,2023-2024,Liverpool
15,2023-12-09,12:30,Matchweek 16,Sat,Away,W,2.0,1.0,Crystal Palace,1.2,1.7,76.0,25103.0,Virgil van Dijk,4-3-3,Andy Madley,Match Report,,2,14,2,14.3,0.14,1.0,17.4,0,0,0,1.2,0.09,0.8,0.8,4,3,100.0,0,1.6,0.6,1,0,0,1,5,20.0,33,6,15.2,23.0,2,0.0,14.5,16,1,6.3,0,9.0,2023-2024,Liverpool
16,2023-12-17,16:30,Matchweek 17,Sun,Home,D,0.0,0.0,Manchester Utd,2.3,0.8,68.0,57158.0,Virgil van Dijk,4-3-3,Michael Oliver,Match Report,,0,34,8,23.5,0.0,0.0,17.7,0,0,0,2.3,0.07,-2.3,-2.3,1,1,100.0,1,0.1,0.1,0,0,0,1,2,50.0,38,4,5.3,21.0,3,0.0,18.0,2,0,0.0,0,11.0,2023-2024,Liverpool
17,2023-12-23,17:30,Matchweek 18,Sat,Home,D,1.0,1.0,Arsenal,1.0,0.7,52.0,57548.0,Virgil van Dijk,4-3-3,Chris Kavanagh,Match Report,,1,13,3,23.1,0.08,0.33,20.1,1,0,0,1.0,0.07,0.0,0.0,2,1,50.0,0,0.4,-0.6,0,0,0,2,6,33.3,41,6,12.2,25.9,6,16.7,30.0,11,0,0.0,0,9.7,2023-2024,Liverpool
18,2023-12-26,17:30,Matchweek 19,Tue,Away,W,2.0,0.0,Burnley,1.8,0.8,68.0,21624.0,Virgil van Dijk,4-3-3,Paul Tierney,Match Report,,2,19,10,52.6,0.11,0.2,17.4,0,0,0,1.8,0.1,0.2,0.2,0,0,,1,0.0,0.0,0,0,0,4,7,57.1,24,2,12.5,23.1,12,33.3,30.6,13,1,7.7,2,21.0,2023-2024,Liverpool
19,2024-01-01,20:00,Matchweek 20,Mon,Home,W,4.0,2.0,Newcastle Utd,7.0,0.6,61.0,57471.0,Virgil van Dijk,4-3-3,Anthony Taylor,Match Report,,4,32,12,37.5,0.09,0.25,16.2,0,1,2,5.4,0.17,-3.0,-2.4,3,1,33.3,0,1.4,-0.6,0,0,0,2,6,33.3,43,5,11.6,23.5,4,25.0,30.8,5,1,20.0,1,19.5,2023-2024,Liverpool
20,2024-01-21,16:30,Matchweek 21,Sun,Away,W,4.0,0.0,Bournemouth,1.5,1.4,60.0,11228.0,Virgil van Dijk,4-3-3,Andy Madley,Match Report,,4,14,7,50.0,0.29,0.57,19.2,0,0,0,1.5,0.11,2.5,2.5,1,1,100.0,1,0.2,0.2,0,0,0,6,11,54.5,41,4,24.4,30.0,7,14.3,23.3,16,0,0.0,1,12.5,2023-2024,Liverpool
21,2024-01-31,20:15,Matchweek 22,Wed,Home,W,4.0,1.0,Chelsea,2.9,0.6,50.0,,Virgil van Dijk,4-3-3,Paul Tierney,Match Report,,4,27,13,48.1,0.15,0.31,19.9,2,0,1,2.1,0.08,1.1,1.9,3,2,66.7,0,0.6,-0.4,0,0,0,0,5,0.0,42,8,11.9,26.8,2,0.0,22.0,4,0,0.0,0,17.5,2023-2024,Liverpool
0,2023-08-11,20:00,Matchweek 1,Fri,Away,W,3.0,0.0,Burnley,1.9,0.3,65.0,21572.0,Kevin De Bruyne,4-2-3-1,Craig Pawson,Match Report,,3,17,8,47.1,0.18,0.38,13.9,0,0,0,1.9,0.12,1.1,1.1,1,1,100.0,1,0.0,0.0,0,0,0,12,22,54.5,68,5,29.4,31.5,7,28.6,28.9,7,1,14.3,1,18.8,2023-2024,Manchester City
1,2023-08-19,20:00,Matchweek 2,Sat,Home,W,1.0,0.0,Newcastle Utd,1.0,0.3,59.0,53419.0,Kyle Walker,4-2-3-1,Robert Jones,Match Report,,1,14,4,28.6,0.07,0.25,17.9,0,0,0,1.0,0.07,0.0,0.0,1,1,100.0,1,0.1,0.1,0,0,0,7,15,46.7,46,3,26.1,31.3,4,75.0,55.3,1,1,100.0,3,20.1,2023-2024,Manchester City
2,2023-08-27,14:00,Matchweek 3,Sun,Away,W,2.0,1.0,Sheffield Utd,3.5,0.7,79.0,31336.0,Kyle Walker,4-2-3-1,Jarred Gillett,Match Report,,2,29,9,31.0,0.07,0.22,17.3,2,0,1,2.8,0.1,-1.5,-0.8,1,0,0.0,0,0.4,-0.6,0,0,0,2,7,28.6,27,3,18.5,28.5,6,33.3,39.3,2,0,0.0,1,23.0,2023-2024,Manchester City
3,2023-09-02,15:00,Matchweek 4,Sat,Home,W,5.0,1.0,Fulham,2.2,1.4,68.0,52899.0,Kyle Walker,4-2-3-1,Michael Oliver,Match Report,,5,6,4,66.7,0.67,1.0,14.8,0,1,1,1.4,0.25,2.8,2.6,4,3,75.0,0,1.7,0.7,0,0,0,3,8,37.5,41,2,19.5,28.0,4,0.0,23.8,8,0,0.0,1,33.0,2023-2024,Manchester City
