,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,gls,sh,sot,sot%,g/sh,g/sot,dist,fk,pk,pkatt,npxg,npxg/sh,g-xg,np:g-xg,sota,saves,save%,cs,psxg,psxg+/-,pka,pksv,pkm,cmp,att,cmp%,att (gk),thr,launch%,avglen,att,launch%,avglen,opp,stp,stp%,#opa,avgdist,totdist,prgdist,ast,xag,xa,kp,1/3,ppa,crspa,prgp,live,dead,tb,sw,crs,ti,ck,in,out,str,off,blocks,sca,passlive,passdead,to,fld,def,gca,passlive,passdead,to,fld,def,tkl,tklw,def 3rd,mid 3rd,att 3rd,tkl,tkl%,lost,pass,int,tkl+int,clr,err,touches,def pen,att pen,succ,succ%,tkld,tkld%,carries,prgc,cpa,mis,dis,rec,prgr,crdy,crdr,2crdy,fls,pkwon,pkcon,og,recov,won,won%,season,team
10,2019-11-02,20:45,Matchweek 11,Sat,Away,W,1.0,0.0,Torino,1.2,0.4,58.0,26664.0,Leonardo Bonucci,4-3-1-2,Daniele Doveri,Match Report,,1.0,19.0,10.0,52.6,0.05,0.1,17.2,1.0,0.0,0.0,1.2,0.07,-0.2,-0.2,4.0,4.0,100.0,1.0,0.3,0.3,0.0,0.0,0.0,4.0,7.0,57.1,21.0,8.0,23.8,33.0,5.0,40.0,26.4,18.0,1.0,5.6,3.0,16.6,6393.0,2341.0,1.0,1.0,1.0,15.0,32.0,11.0,1.0,37.0,385.0,51.0,3.0,3.0,18.0,17.0,6.0,2.0,2.0,1.0,3.0,8.0,31.0,20.0,4.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,20.0,17.0,8.0,9.0,3.0,6.0,35.3,11.0,4.0,7.0,27.0,25.0,1.0,557.0,54.0,27.0,7.0,63.6,4.0,36.4,338.0,19.0,6.0,19.0,7.0,352.0,37.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,42.0,17.0,48.6,2019-2020,Juventus
11,2019-11-10,20:45,Matchweek 12,Sun,Home,W,1.0,0.0,Milan,1.0,0.8,54.0,40478.0,Leonardo Bonucci,4-3-1-2,Fabio Maresca,Match Report,,1.0,13.0,5.0,38.5,0.08,0.2,17.5,0.0,0.0,0.0,1.0,0.08,0.0,0.0,7.0,7.0,100.0,1.0,1.2,1.2,0.0,0.0,0.0,2.0,2.0,100.0,17.0,7.0,11.8,28.2,4.0,0.0,18.0,14.0,1.0,7.1,4.0,23.6,7834.0,2740.0,1.0,0.9,0.5,11.0,34.0,8.0,1.0,36.0,493.0,46.0,1.0,12.0,11.0,26.0,5.0,1.0,2.0,0.0,4.0,7.0,25.0,21.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,19.0,11.0,9.0,6.0,4.0,7.0,36.8,12.0,7.0,16.0,35.0,27.0,0.0,684.0,65.0,15.0,14.0,66.7,7.0,33.3,469.0,20.0,3.0,20.0,8.0,449.0,36.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,56.0,21.0,70.0,2019-2020,Juventus
12,2019-11-23,15:00,Matchweek 13,Sat,Away,W,3.0,1.0,Atalanta,1.2,2.7,53.0,20899.0,Leonardo Bonucci,4-3-1-2,Gianluca Rocchi,Match Report,,3.0,16.0,5.0,31.3,0.19,0.6,22.1,3.0,0.0,0.0,1.2,0.07,1.8,1.8,7.0,6.0,85.7,0.0,1.6,0.6,0.0,0.0,1.0,6.0,10.0,60.0,28.0,7.0,32.1,30.3,8.0,12.5,26.5,24.0,0.0,0.0,0.0,9.8,7746.0,3084.0,3.0,0.9,0.8,10.0,25.0,6.0,1.0,38.0,473.0,50.0,1.0,8.0,4.0,24.0,3.0,0.0,1.0,0.0,0.0,12.0,25.0,18.0,1.0,1.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,13.0,8.0,10.0,3.0,0.0,9.0,47.4,10.0,5.0,17.0,30.0,33.0,0.0,671.0,100.0,18.0,11.0,55.0,9.0,45.0,296.0,19.0,7.0,18.0,16.0,428.0,38.0,3.0,0.0,0.0,13.0,0.0,1.0,0.0,60.0,10.0,55.6,2019-2020,Juventus
13,2019-12-01,12:30,Matchweek 14,Sun,Home,D,2.0,2.0,Sassuolo,4.6,0.7,56.0,40597.0,Leonardo Bonucci,4-3-1-2,Federico La Penna,Match Report,,2.0,28.0,8.0,28.6,0.04,0.13,17.3,3.0,1.0,1.0,3.8,0.14,-2.6,-2.8,4.0,2.0,50.0,0.0,0.5,-1.5,0.0,0.0,0.0,0.0,0.0,,12.0,2.0,0.0,17.8,4.0,0.0,21.8,6.0,0.0,0.0,2.0,18.0,8074.0,2703.0,1.0,2.2,1.6,17.0,40.0,14.0,4.0,51.0,565.0,45.0,1.0,5.0,28.0,18.0,9.0,3.0,4.0,0.0,1.0,6.0,52.0,40.0,2.0,3.0,4.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,21.0,14.0,10.0,5.0,6.0,11.0,55.0,9.0,17.0,13.0,34.0,13.0,3.0,745.0,30.0,35.0,8.0,38.1,13.0,61.9,513.0,25.0,5.0,14.0,4.0,514.0,51.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,58.0,9.0,60.0,2019-2020,Juventus
14,2019-12-07,20:45,Matchweek 15,Sat,Away,L,1.0,3.0,Lazio,1.6,3.0,60.0,65000.0,Leonardo Bonucci,4-3-1-2,Michael Fabbri,Match Report,,1.0,9.0,4.0,44.4,0.11,0.25,19.0,1.0,0.0,0.0,1.6,0.18,-0.6,-0.6,9.0,5.0,66.7,0.0,3.7,0.7,0.0,1.0,0.0,3.0,5.0,60.0,13.0,5.0,30.8,33.4,7.0,14.3,24.1,12.0,0.0,0.0,5.0,23.3,9006.0,2847.0,1.0,1.4,1.8,5.0,41.0,6.0,0.0,35.0,556.0,47.0,3.0,4.0,12.0,15.0,5.0,3.0,1.0,0.0,0.0,6.0,16.0,11.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,14.0,5.0,4.0,7.0,3.0,8.0,44.4,10.0,10.0,5.0,19.0,12.0,0.0,694.0,45.0,12.0,16.0,69.6,7.0,30.4,538.0,27.0,1.0,12.0,5.0,528.0,35.0,3.0,1.0,0.0,11.0,0.0,1.0,0.0,37.0,9.0,50.0,2019-2020,Juventus
15,2019-12-15,15:00,Matchweek 16,Sun,Home,W,3.0,1.0,Udinese,1.6,1.4,65.0,39127.0,Leonardo Bonucci,4-3-1-2,Fabrizio Pasqua,Match Report,,3.0,24.0,9.0,37.5,0.13,0.33,18.3,0.0,0.0,0.0,1.6,0.07,1.4,1.4,6.0,5.0,83.3,0.0,2.1,1.1,0.0,0.0,0.0,1.0,1.0,100.0,20.0,4.0,5.0,21.0,5.0,0.0,20.4,18.0,1.0,5.6,0.0,11.0,11294.0,3475.0,2.0,1.3,1.5,16.0,47.0,10.0,0.0,46.0,779.0,35.0,2.0,1.0,16.0,11.0,9.0,2.0,5.0,0.0,0.0,7.0,39.0,34.0,1.0,2.0,0.0,0.0,6.0,5.0,1.0,0.0,0.0,0.0,16.0,11.0,10.0,4.0,2.0,6.0,42.9,8.0,10.0,7.0,23.0,27.0,0.0,941.0,66.0,40.0,9.0,60.0,6.0,40.0,656.0,30.0,13.0,12.0,3.0,727.0,46.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,45.0,8.0,57.1,2019-2020,Juventus
16,2019-12-18,18:55,Matchweek 17,Wed,Away,W,2.0,1.0,Sampdoria,0.9,0.7,70.0,23136.0,Leonardo Bonucci,4-3-1-2,Gianluca Rocchi,Match Report,,2.0,11.0,4.0,36.4,0.18,0.5,17.2,0.0,0.0,0.0,0.9,0.08,1.1,1.1,3.0,2.0,66.7,0.0,0.2,-0.8,0.0,0.0,0.0,4.0,7.0,57.1,17.0,6.0,23.5,22.3,11.0,27.3,32.2,13.0,0.0,0.0,0.0,,10945.0,3320.0,2.0,0.8,0.7,9.0,35.0,9.0,4.0,56.0,738.0,50.0,1.0,5.0,23.0,24.0,5.0,1.0,4.0,0.0,2.0,9.0,21.0,19.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,15.0,8.0,7.0,7.0,1.0,7.0,50.0,7.0,5.0,10.0,25.0,20.0,1.0,908.0,60.0,18.0,7.0,43.8,9.0,56.3,437.0,27.0,4.0,17.0,6.0,678.0,56.0,2.0,0.0,0.0,17.0,0.0,0.0,0.0,48.0,23.0,65.7,2019-2020,Juventus
17,2020-01-06,15:00,Matchweek 18,Mon,Home,W,4.0,0.0,Cagliari,2.8,0.6,64.0,40598.0,Leonardo Bonucci,4-3-1-2,Piero Giacomelli,Match Report,,4.0,19.0,8.0,42.1,0.16,0.38,20.5,2.0,1.0,1.0,2.0,0.11,1.2,1.0,1.0,1.0,100.0,1.0,0.2,0.2,0.0,0.0,0.0,1.0,1.0,100.0,11.0,3.0,9.1,21.4,7.0,0.0,18.7,13.0,0.0,0.0,1.0,16.8,10593.0,3282.0,2.0,0.9,0.9,11.0,59.0,8.0,1.0,51.0,759.0,43.0,1.0,7.0,21.0,21.0,3.0,0.0,2.0,0.0,3.0,16.0,36.0,25.0,2.0,4.0,4.0,1.0,7.0,3.0,0.0,3.0,1.0,0.0,14.0,10.0,2.0,10.0,2.0,4.0,26.7,11.0,3.0,11.0,25.0,10.0,0.0,901.0,34.0,23.0,21.0,72.4,8.0,27.6,606.0,29.0,4.0,15.0,6.0,716.0,51.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,51.0,9.0,75.0,2019-2020,Juventus
18,2020-01-12,20:45,Matchweek 19,Sun,Away,W,2.0,1.0,Roma,1.4,2.6,47.0,60513.0,Leonardo Bonucci,4-3-1-2,Marco Guida,Match Report,,2.0,4.0,3.0,75.0,0.25,0.33,13.3,0.0,1.0,1.0,0.6,0.16,0.6,0.4,5.0,4.0,100.0,0.0,1.5,0.5,1.0,0.0,0.0,3.0,9.0,33.3,23.0,12.0,21.7,31.0,12.0,33.3,31.9,30.0,3.0,10.0,0.0,6.3,7321.0,2775.0,0.0,0.4,0.3,3.0,18.0,4.0,1.0,25.0,457.0,40.0,1.0,3.0,7.0,14.0,2.0,0.0,1.0,0.0,7.0,5.0,9.0,6.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0,12.0,11.0,7.0,4.0,1.0,2.0,14.3,12.0,5.0,8.0,20.0,36.0,0.0,620.0,99.0,14.0,13.0,86.7,2.0,13.3,375.0,16.0,4.0,15.0,1.0,421.0,25.0,3.0,0.0,0.0,13.0,1.0,1.0,0.0,38.0,8.0,47.1,2019-2020,Juventus
19,2020-01-19,20:45,Matchweek 20,Sun,Home,W,2.0,1.0,Parma,1.2,0.3,63.0,37790.0,Leonardo Bonucci,4-3-1-2,Marco Di Bello,Match Report,,2.0,17.0,5.0,29.4,0.12,0.4,16.7,0.0,0.0,0.0,1.2,0.07,0.8,0.8,6.0,5.0,83.3,0.0,1.5,0.5,0.0,0.0,0.0,6.0,9.0,66.7,23.0,7.0,39.1,34.8,3.0,0.0,23.0,12.0,0.0,0.0,0.0,6.0,9971.0,3386.0,2.0,1.2,0.8,16.0,62.0,8.0,2.0,52.0,660.0,46.0,0.0,5.0,25.0,20.0,10.0,2.0,7.0,0.0,1.0,8.0,34.0,27.0,3.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,11.0,8.0,4.0,4.0,3.0,6.0,66.7,3.0,5.0,18.0,29.0,10.0,0.0,826.0,56.0,27.0,6.0,37.5,10.0,62.5,604.0,28.0,9.0,16.0,5.0,614.0,51.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,51.0,16.0,47.1,2019-2020,Juventus
