,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,gls,sh,sot,sot%,g/sh,g/sot,dist,fk,pk,pkatt,npxg,npxg/sh,g-xg,np:g-xg,sota,saves,save%,cs,psxg,psxg+/-,pka,pksv,pkm,cmp,att,cmp%,att (gk),thr,launch%,avglen,att,launch%,avglen,opp,stp,stp%,#opa,avgdist,totdist,prgdist,ast,xag,xa,kp,1/3,ppa,crspa,prgp,live,dead,tb,sw,crs,ti,ck,in,out,str,off,blocks,sca,passlive,passdead,to,fld,def,gca,passlive,passdead,to,fld,def,tkl,tklw,def 3rd,mid 3rd,att 3rd,tkl,tkl%,lost,pass,int,tkl+int,clr,err,touches,def pen,att pen,succ,succ%,tkld,tkld%,carries,prgc,cpa,mis,dis,rec,prgr,crdy,crdr,2crdy,fls,pkwon,pkcon,og,recov,won,won%,season,team
10,2019-11-02,15:00,Matchweek 11,Sat,Away,W,2.0,1.0,Aston Villa,2.4,0.4,73.0,41878.0,Jordan Henderson,4-3-3,Jonathan Moss,Match Report,,2,25,6,24.0,0.08,0.33,14.6,1,0,0,2.4,0.1,-0.4,-0.4,2,1,50.0,0,0.2,-0.8,0,0,0,2,3,66.7,12,1,25.0,25.4,3,0.0,12.7,10,0,0.0,7,30.9,9251,3242,2,2.0,2.0,20,57,16,4,73,645,60,2,5,39,31,10,4,3,0,2,15,46,33,4,3,1,1,4,2,1,0,0,0,17,12,6,6,5,9,64.3,5,7,8,25,24,1,831,38,46,4,28.6,10,71.4,522,28,8,16,10,568,73,2,0,0,9,0,0,0,64,22,53.7,2019-2020,Liverpool
11,2019-11-10,16:30,Matchweek 12,Sun,Home,W,3.0,1.0,Manchester City,1.1,1.3,45.0,53324.0,Jordan Henderson,4-3-3,Michael Oliver,Match Report,,3,12,5,41.7,0.25,0.6,15.9,0,0,0,1.1,0.09,1.9,1.9,3,2,66.7,0,0.3,-0.7,0,0,0,4,15,26.7,45,8,24.4,31.0,10,40.0,32.7,22,2,9.1,0,5.7,6850,2513,2,0.9,0.9,8,13,9,4,24,416,44,0,11,17,19,4,2,1,0,3,7,23,20,1,1,0,1,6,6,0,0,0,0,13,5,10,3,0,4,17.4,19,2,10,23,28,0,579,115,22,13,59.1,9,40.9,369,15,5,13,6,350,24,0,0,0,10,0,0,0,40,13,48.1,2019-2020,Liverpool
12,2019-11-23,15:00,Matchweek 13,Sat,Away,W,2.0,1.0,Crystal Palace,1.4,1.0,60.0,25486.0,Jordan Henderson,4-3-3,Kevin Friend,Match Report,,2,12,4,33.3,0.17,0.5,13.6,0,0,0,1.4,0.13,0.6,0.6,6,5,83.3,0,1.1,0.1,0,0,0,5,12,41.7,27,4,29.6,30.4,9,44.4,42.2,20,0,0.0,0,11.0,8061,2660,1,1.0,1.3,10,29,9,1,47,509,57,3,7,25,27,8,4,3,0,0,3,22,17,3,0,0,0,3,2,0,0,0,0,24,15,12,10,2,8,47.1,9,1,6,30,30,0,677,71,19,3,23.1,10,76.9,452,18,2,7,4,447,47,1,0,0,7,0,0,0,37,24,53.3,2019-2020,Liverpool
13,2019-11-30,15:00,Matchweek 14,Sat,Home,W,2.0,1.0,Brighton,1.3,0.8,44.0,53319.0,Jordan Henderson,4-3-3,Martin Atkinson,Match Report,,2,15,7,46.7,0.13,0.29,15.2,0,0,0,1.3,0.09,0.7,0.7,5,4,66.7,0,0.8,-0.3,0,0,0,7,20,35.0,45,9,37.8,33.5,7,42.9,41.4,14,1,7.1,3,17.1,7721,2370,2,0.9,0.9,8,26,8,0,32,474,45,1,13,12,16,4,1,2,0,1,5,23,17,2,0,1,1,3,0,2,0,1,0,11,5,6,3,2,6,35.3,11,10,11,22,20,1,623,70,32,8,50.0,8,50.0,428,26,9,13,3,408,32,0,1,0,3,0,0,0,51,8,40.0,2019-2020,Liverpool
14,2019-12-04,20:15,Matchweek 15,Wed,Home,W,5.0,2.0,Everton,2.0,1.5,58.0,53094.0,James Milner,4-2-3-1,Mike Dean,Match Report,,5,11,5,45.5,0.45,1.0,15.0,0,0,0,2.0,0.19,3.0,3.0,4,2,50.0,0,1.1,-0.9,0,0,0,0,8,0.0,30,9,23.3,29.6,7,14.3,25.3,22,1,4.5,2,15.3,7664,2743,5,2.0,1.4,10,29,11,1,36,487,58,5,6,12,23,5,4,1,0,3,5,21,15,1,3,1,0,10,8,0,2,0,0,15,11,7,8,0,7,46.7,8,6,7,22,26,0,661,75,19,13,61.9,8,38.1,438,22,4,17,11,432,36,1,0,0,13,0,0,0,48,25,48.1,2019-2020,Liverpool
15,2019-12-07,15:00,Matchweek 16,Sat,Away,W,3.0,0.0,Bournemouth,2.4,0.1,73.0,10832.0,Jordan Henderson,4-3-3,Chris Kavanagh,Match Report,,3,21,9,42.9,0.14,0.33,15.9,1,0,0,2.4,0.12,0.6,0.6,0,0,,1,0.0,0.0,0,0,0,2,4,50.0,23,2,17.4,25.0,4,0.0,22.0,2,0,0.0,2,19.3,12888,3782,3,2.3,1.5,18,60,20,2,78,860,44,4,10,24,26,3,1,1,0,1,5,38,33,3,1,0,0,5,5,0,0,0,0,10,5,3,4,3,5,45.5,6,7,8,18,5,0,987,31,39,12,70.6,5,29.4,763,24,3,15,7,784,78,1,0,0,6,0,0,0,69,14,48.3,2019-2020,Liverpool
16,2019-12-14,12:30,Matchweek 17,Sat,Home,W,2.0,0.0,Watford,1.4,1.0,68.0,53311.0,Jordan Henderson,4-2-3-1,Andre Marriner,Match Report,,2,16,6,37.5,0.13,0.33,16.4,0,0,0,1.4,0.09,0.6,0.6,2,2,100.0,1,0.2,0.2,0,0,0,2,4,50.0,23,7,17.4,27.3,7,0.0,16.9,9,0,0.0,1,14.5,10233,3653,2,1.0,0.9,7,53,11,0,52,654,54,4,6,22,30,6,3,2,0,5,13,25,21,0,2,0,1,3,2,0,0,0,0,14,8,4,6,4,3,23.1,10,3,9,23,14,0,818,54,30,10,40.0,15,60.0,561,31,9,22,6,570,52,2,0,0,8,0,0,0,58,25,69.4,2019-2020,Liverpool
17,2019-12-26,20:00,Matchweek 19,Thu,Away,W,4.0,0.0,Leicester City,3.2,0.1,59.0,32211.0,Jordan Henderson,4-3-3,Michael Oliver,Match Report,,4,14,5,35.7,0.21,0.6,14.4,0,1,1,2.5,0.18,0.8,0.5,0,0,,1,0.0,0.0,0,0,0,3,4,75.0,21,4,14.3,27.5,3,33.3,34.7,9,0,0.0,2,22.5,9380,3102,3,2.1,1.7,13,37,15,10,39,605,47,2,13,33,25,8,2,5,0,3,11,26,20,2,2,0,1,7,6,0,0,0,0,10,8,5,3,2,8,42.1,11,3,8,18,17,0,749,45,30,18,78.3,5,21.7,415,27,5,20,11,538,39,1,0,0,7,0,0,0,63,13,54.2,2019-2020,Liverpool
18,2019-12-29,16:30,Matchweek 20,Sun,Home,W,1.0,0.0,Wolves,1.2,0.5,62.0,53326.0,Jordan Henderson,4-2-3-1,Anthony Taylor,Match Report,,1,10,3,30.0,0.1,0.33,14.4,0,0,0,1.2,0.12,-0.2,-0.2,2,2,100.0,1,0.2,0.2,0,0,0,2,5,40.0,22,5,0.0,19.4,10,50.0,43.0,13,0,0.0,2,17.0,9273,3029,1,1.2,0.9,9,34,15,1,42,606,50,0,6,18,26,5,1,3,0,2,8,19,15,3,0,0,0,2,2,0,0,0,0,19,7,6,10,3,8,26.7,22,5,12,31,17,1,779,53,29,7,46.7,8,53.3,530,21,3,20,15,552,41,1,0,0,7,0,0,0,58,18,40.9,2019-2020,Liverpool
19,2020-01-02,20:00,Matchweek 21,Thu,Home,W,2.0,0.0,Sheffield Utd,2.8,0.6,74.0,53321.0,Jordan Henderson,4-3-3,Paul Tierney,Match Report,,2,19,7,36.8,0.11,0.29,15.1,0,0,0,2.8,0.17,-0.8,-0.8,2,2,100.0,1,0.8,0.8,0,0,0,1,2,50.0,33,8,6.1,24.2,3,0.0,26.3,5,1,20.0,1,15.5,15798,4088,1,2.4,2.1,16,43,14,1,50,978,40,2,9,24,17,8,1,3,0,1,6,35,30,2,1,0,0,3,2,0,0,0,0,6,4,3,3,0,1,14.3,6,2,9,15,9,1,1082,44,38,8,61.5,5,38.5,860,29,6,5,9,898,50,0,0,0,5,0,0,0,59,18,64.3,2019-2020,Liverpool
